TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
E2F7	AADAT	0.72392	49.25	0.246	rgb(220,170,170)	1.9652	None
PAX6	AADAT	0.27869	32	0	rgb(217,217,217)	1.6201	None
TFCP2L1	AADAT	-0.47166	40.56	-0.56	rgb( 94,142,238)	1.7914	None
ZNF519	AADAT	0.9278	50.67	0.67	rgb(224, 89, 90)	1.9936	None
PAX6	ABCA9	-0.96501	50.81	-0.81	rgb( 40,110,248)	1.9964	None
SMAD9	ABCA9	0.57811	45.44	0.443	rgb(222,132,133)	1.889	None
TFCP2L1	ABCA9	0.58009	45.48	0.482	rgb(222,125,126)	1.8898	None
E2F7	ABCC4	0.96353	50.76	0.755	rgb(225, 73, 74)	1.9954	None
PAX6	ABCC4	0.13057	21	0	rgb(217,217,217)	1.4001	None
SMAD9	ABCC4	-0.36592	37.13	-0.13	rgb(190,200,222)	1.7227	None
SOX4	ABCC4	0.12321	21	0	rgb(217,217,217)	1.4001	None
TFCP2L1	ABCC4	0.89488	50.6	0.597	rgb(224,103,104)	1.9922	None
SMAD9	ABCC8	0.43238	40.19	0.186	rgb(219,181,182)	1.784	None
SOX4	ABCC8	-0.96799	50.82	-0.82	rgb( 40,109,248)	1.9966	None
TFCP2L1	ABCC9	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ZNF519	ABCC9	0.71425	48.71	0.715	rgb(225, 80, 82)	1.9544	2,2
PAX6	ABLIM2	0.49665	41.53	0.531	rgb(223,116,117)	1.8108	None
SOX4	ABLIM2	-0.38364	36.48	-0.48	rgb(112,153,235)	1.7097	None
ZNF519	ABLIM2	0.0067328	14	0	rgb(217,217,217)	1.2601	None
PAX6	ACBD7	-0.60962	45.57	-0.57	rgb( 93,141,239)	1.8916	None
SMAD9	ACBD7	0.17332	24	0	rgb(217,217,217)	1.4601	None
SOX4	ACBD7	-0.64907	47.46	-0.46	rgb(118,157,234)	1.9294	None
ZNF519	ACBD7	0.57266	45.37	0.371	rgb(221,146,147)	1.8876	None
PAX6	ACE	0.59909	46.3	0.3	rgb(220,160,160)	1.9062	None
SMAD9	ACE	0.67286	48.07	0.067	rgb(218,204,204)	1.9416	None
E2F7	ACOT7	0.49641	42.51	0.512	rgb(223,119,120)	1.8304	None
SMAD9	ACOT7	0.076869	18	0	rgb(217,217,217)	1.3401	None
TFCP2L1	ACOT7	0.58269	45.53	0.534	rgb(223,115,116)	1.8908	None
ZNF519	ACOT7	0.084387	19	0	rgb(217,217,217)	1.3601	None
E2F7	ACSS3	-0.82553	50.43	-0.43	rgb(125,161,233)	1.9888	None
PAX6	ACSS3	0.3879	37.03	0.025	rgb(217,212,212)	1.7207	None
SMAD9	ACSS3	0.85663	50.54	0.545	rgb(223,113,114)	1.991	None
SOX4	ACSS3	0.70715	48.47	0.484	rgb(222,125,126)	1.9496	None
PAX6	ACTN3	-0.85663	50.54	-0.54	rgb( 99,145,238)	1.991	None
TFCP2L1	ACTN3	0.92003	50.69	0.695	rgb(225, 84, 86)	1.994	None
PAX6	ADAM12	0.41314	39.28	0.284	rgb(220,163,163)	1.7658	None
SOX4	ADAM12	-0.88819	50.62	-0.62	rgb( 82,135,241)	1.9926	None
E2F7	ADAMTSL1	-0.57831	45.45	-0.45	rgb(120,158,234)	1.8892	None
SOX4	ADAMTSL1	-0.91322	50.68	-0.68	rgb( 70,127,243)	1.9938	None
SOX4	ADCY1	0.87278	50.55	0.547	rgb(223,113,114)	1.9912	None
TFCP2L1	ADCY1	0.89488	50.6	0.601	rgb(224,102,103)	1.9922	None
SOX4	ADCY2	-0.98121	50.87	-0.87	rgb( 28,102,250)	1.9976	None
TFCP2L1	ADCY2	-0.91553	50.64	-0.64	rgb( 78,132,241)	1.993	None
PAX6	ADCY5	0.44031	40.36	0.361	rgb(221,148,149)	1.7874	None
SMAD9	ADCY5	0.54713	43.39	0.393	rgb(221,142,143)	1.848	None
TFCP2L1	ADCY5	0.82433	50.42	0.421	rgb(222,137,138)	1.9886	None
PAX6	ADD2	0.016605	14	0	rgb(217,217,217)	1.2601	None
SOX4	ADD2	0.068278	17	0	rgb(217,217,217)	1.3201	None
SMAD9	ADORA2A	0.84692	50.49	0.495	rgb(222,123,124)	1.99	2,2
TFCP2L1	ADORA2A	-0.89488	50.6	-0.6	rgb( 86,137,240)	1.9922	2,2
E2F7	AEBP1	-0.85828	50.52	-0.52	rgb(104,148,237)	1.9906	None
PAX6	AEBP1	-0.52602	43.63	-0.63	rgb( 81,134,241)	1.8528	None
TFCP2L1	AEBP1	0.22515	27	0	rgb(217,217,217)	1.5201	None
SMAD9	AF086346	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
SOX4	AF086346	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF519	AF086346	-0.66592	47.45	-0.45	rgb(120,158,234)	1.9292	2,2
E2F7	AF258560	0.22515	27	0	rgb(217,217,217)	1.5201	2,2
TFCP2L1	AF258560	-0.90202	50.61	-0.61	rgb( 86,137,240)	1.9924	2,2
SMAD9	AF289551	0.53069	42.73	0.734	rgb(225, 77, 78)	1.8348	2,2
TFCP2L1	AF289551	-0.52425	42.52	-0.52	rgb(103,148,237)	1.8306	2,2
E2F7	AGAP11	0.18104	25	0	rgb(217,217,217)	1.4801	None
PAX6	AGAP11	-0.72986	49.13	-0.13	rgb(188,199,222)	1.9628	None
SMAD9	AGAP11	0.092482	18	0	rgb(217,217,217)	1.3401	None
SOX4	AGAP11	0.21727	28	0	rgb(217,217,217)	1.5401	None
TFCP2L1	AGAP11	0.084387	19	0	rgb(217,217,217)	1.3601	None
ZNF519	AGAP11	0.43238	40.19	0.19	rgb(219,181,181)	1.784	None
E2F7	AGAP9	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
TFCP2L1	AGAP9	-0.55353	43.52	-0.52	rgb(103,148,237)	1.8506	2,2
SOX4	AGT	-0.76663	49.58	-0.58	rgb( 91,140,239)	1.9718	None
TFCP2L1	AGT	-0.41198	39.26	-0.26	rgb(160,182,227)	1.7654	None
SMAD9	AHNAK	0.29533	33	0	rgb(217,217,217)	1.6401	None
TFCP2L1	AHNAK	0.53461	43.07	0.234	rgb(220,172,173)	1.8416	None
E2F7	AIF1	0.4962	41.51	0.514	rgb(223,119,120)	1.8104	None
PAX6	AIF1	0.26378	31	0	rgb(217,217,217)	1.6001	None
SMAD9	AIF1	0.95799	50.79	0.795	rgb(226, 65, 67)	1.996	None
SOX4	AIF1	0.4988	42.59	0.591	rgb(223,104,105)	1.832	None
TFCP2L1	AIF1	-0.41875	39.39	-0.39	rgb(132,165,232)	1.768	None
ZNF519	AIF1	-0.82887	50.44	-0.44	rgb(122,159,234)	1.989	None
SOX4	AK025511	0.25535	29	0	rgb(217,217,217)	1.5601	2,2
TFCP2L1	AK025511	-0.56778	45.29	-0.29	rgb(153,178,228)	1.886	2,2
TFCP2L1	AK025664	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ZNF519	AK025664	0.61958	46.66	0.659	rgb(224, 91, 93)	1.9134	2,2
SOX4	AK026392	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ZNF519	AK026392	-0.69248	48.31	-0.31	rgb(150,176,229)	1.9464	2,2
SMAD9	AK027332	-0.55667	43.63	-0.63	rgb( 80,134,241)	1.8528	2,2
ZNF519	AK027332	0.67063	47.83	0.827	rgb(226, 59, 61)	1.9368	2,2
SOX4	AK027840	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF519	AK027840	-0.6919	48.3	-0.3	rgb(152,178,228)	1.9462	2,2
E2F7	AK054970	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
ZNF519	AK054970	0.20355	27	0	rgb(217,217,217)	1.5201	2,2
PAX6	AK055257	0.16638	23	0	rgb(217,217,217)	1.4401	2,2
TFCP2L1	AK055257	0.21727	28	0	rgb(217,217,217)	1.5401	2,2
ZNF519	AK055257	0.75436	49.53	0.528	rgb(223,116,117)	1.9708	2,2
SOX4	AK056490	-0.41177	38.16	-0.16	rgb(183,196,223)	1.7433	2,2
TFCP2L1	AK056490	-0.56477	45.25	-0.25	rgb(163,184,227)	1.8852	2,2
SMAD9	AK092251	0.44663	39.53	0.528	rgb(223,116,117)	1.7708	2,2
SOX4	AK092251	0.46596	41.4	0.402	rgb(221,140,141)	1.8082	2,2
PAX6	AK094156	-0.34126	34.25	-0.25	rgb(163,184,227)	1.6651	2,2
SOX4	AK094156	0.58905	45.11	0.112	rgb(218,196,196)	1.8824	2,2
TFCP2L1	AK094156	0.54845	44.45	0.448	rgb(222,131,132)	1.8692	2,2
SMAD9	AK097012	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
SOX4	AK097012	0.30343	32	0	rgb(217,217,217)	1.6201	2,2
ZNF519	AK097012	-0.63201	46.42	-0.42	rgb(125,161,233)	1.9086	2,2
PAX6	AK123889	0.21045	26	0	rgb(217,217,217)	1.5001	2,2
TFCP2L1	AK123889	-0.44424	39.46	-0.46	rgb(116,156,235)	1.7694	2,2
ZNF519	AK123889	0.54791	44.44	0.439	rgb(222,133,134)	1.869	2,2
