TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
HMBOX1	ABCA9	0.060595	16	0	rgb(217,217,217)	1.3001	None
HMBOX1	ACSS3	0.49599	42.5	0.495	rgb(222,122,123)	1.8302	None
HMBOX1	ADAM12	0.65679	47.54	0.541	rgb(223,114,115)	1.931	None
HMBOX1	ADCY1	0.36035	36.47	0.468	rgb(222,128,128)	1.7095	None
HMBOX1	ADCY2	0.67741	48.23	0.233	rgb(220,173,173)	1.9448	None
HMBOX1	ADCY5	0.14469	23	0	rgb(217,217,217)	1.4401	None
HMBOX1	ADD2	0.82887	50.44	0.444	rgb(222,132,133)	1.989	None
HMBOX1	ADORA2A	-0.65853	47.34	-0.34	rgb(144,172,230)	1.927	2,2
HMBOX1	AK023417	0.74201	49.43	0.427	rgb(222,135,136)	1.9688	2,2
HMBOX1	AK091624	-0.50017	41.73	-0.73	rgb( 59,121,245)	1.8148	2,2
HMBOX1	AK5	0.084387	19	0	rgb(217,217,217)	1.3601	None
HMBOX1	AKT3	0.78253	49.83	0.827	rgb(226, 59, 61)	1.9768	None
HMBOX1	ANGPT2	-0.37926	36.36	-0.36	rgb(138,169,231)	1.7073	None
HMBOX1	ANK2	0.69434	48.44	0.437	rgb(222,133,134)	1.949	None
HMBOX1	ANKRD13B	0.12321	21	0	rgb(217,217,217)	1.4001	None
HMBOX1	ANKRD45	0.95147	50.73	0.732	rgb(225, 77, 79)	1.9948	None
HMBOX1	APLN	-0.63759	47.34	-0.34	rgb(144,173,230)	1.927	None
