TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
RFX6	NEUROD1	0.99996	50.99	0.993	rgb(228, 27, 29)	2	None
ASCL1	SV2B	0.99988	50.98	0.978	rgb(228, 30, 32)	1.9998	None
NEUROD1	CHGA	0.99988	50.98	0.981	rgb(228, 30, 32)	1.9998	None
NEUROD1	SCG2	0.99959	50.97	0.965	rgb(228, 33, 35)	1.9996	None
NEUROG3	DNAJC12	0.99959	50.99	0.987	rgb(228, 28, 30)	2	None
NEUROG3	GNAO1	0.99959	50.99	0.987	rgb(228, 28, 30)	2	None
NEUROG3	RFX6	0.99959	50.99	0.986	rgb(228, 29, 31)	2	None
NEUROG3	SCG3	0.99959	50.99	0.989	rgb(228, 28, 30)	2	None
NEUROG3	TSPAN11	0.99959	50.99	0.986	rgb(228, 29, 31)	2	None
PLAG1	LINC00939	0.99959	50.97	0.971	rgb(228, 32, 34)	1.9996	None
LMX1A	AB074188	0.99942	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
ZNF514	AK128656	0.99942	50.96	0.955	rgb(228, 35, 36)	1.9994	2,2
ZNF514	AX746764	0.99942	50.96	0.958	rgb(228, 34, 36)	1.9994	2,2
ZNF514	BX641154	0.99942	50.96	0.961	rgb(228, 33, 35)	1.9994	2,2
DACH1	CA8	0.99913	50.98	0.976	rgb(228, 31, 33)	1.9998	2,2
NEUROG3	CHGB	0.99913	50.98	0.984	rgb(228, 29, 31)	1.9998	None
NEUROG3	CRYBA2	0.99913	50.98	0.979	rgb(228, 30, 32)	1.9998	None
NEUROG3	PCSK1	0.99913	50.98	0.985	rgb(228, 29, 31)	1.9998	None
NEUROG3	SNAP25	0.99913	50.98	0.981	rgb(228, 30, 32)	1.9998	None
NEUROG3	ST18	0.99913	50.98	0.976	rgb(228, 31, 33)	1.9998	None
RFX6	MAPK8IP1	0.99913	50.98	0.978	rgb(228, 30, 32)	1.9998	None
ETV1	ISLR2	0.99893	50.95	0.952	rgb(227, 35, 37)	1.9992	None
FEV	HMP19	0.99893	50.95	0.951	rgb(227, 35, 37)	1.9992	2,2
HMBOX1	RNF213	0.99893	50.95	0.946	rgb(227, 36, 38)	1.9992	None
NEUROG3	CCND2	0.99893	50.95	0.945	rgb(227, 36, 38)	1.9992	None
PLAG1	WSB1	0.99893	50.95	0.952	rgb(227, 35, 37)	1.9992	None
NEUROD1	AMPD3	0.99847	50.97	0.967	rgb(228, 32, 34)	1.9996	None
NEUROD1	C1QL1	0.99847	50.97	0.966	rgb(228, 33, 35)	1.9996	None
NEUROD1	KLK12	0.99847	50.97	0.973	rgb(228, 31, 33)	1.9996	None
NEUROD1	SH3RF3	0.99847	50.97	0.969	rgb(228, 32, 34)	1.9996	None
NEUROD1	SPINK4	0.99847	50.97	0.971	rgb(228, 32, 33)	1.9996	None
NEUROD1	SUSD2	0.99847	50.97	0.965	rgb(228, 33, 35)	1.9996	None
NEUROG3	C14orf132	0.99847	50.97	0.969	rgb(228, 32, 34)	1.9996	None
NEUROG3	CACNA2D1	0.99847	50.97	0.966	rgb(228, 32, 34)	1.9996	None
NEUROG3	RGS9	0.99847	50.97	0.973	rgb(228, 31, 33)	1.9996	None
NEUROG3	STMN3	0.99847	50.97	0.971	rgb(228, 32, 34)	1.9996	None
RFX6	CELF3	0.99847	50.97	0.97	rgb(228, 32, 34)	1.9996	None
ARX	KIF1A	0.99793	50.94	0.942	rgb(227, 37, 39)	1.999	None
ARX	LMX1A	0.99793	50.94	0.937	rgb(227, 38, 40)	1.999	None
ARX	SVOP	0.99793	50.94	0.937	rgb(227, 38, 40)	1.999	None
ATOH8	TMEM8C	0.99793	50.94	0.938	rgb(227, 38, 40)	1.999	2,2
E2F7	BLMH	0.99793	50.94	0.936	rgb(227, 38, 40)	1.999	None
E2F7	CIT	0.99793	50.94	0.937	rgb(227, 38, 40)	1.999	None
HMBOX1	KIAA1328	0.99793	50.94	0.941	rgb(227, 37, 39)	1.999	None
HMBOX1	LOC728175	0.99793	50.94	0.94	rgb(227, 37, 39)	1.999	2,2
NEUROD1	TAGLN3	0.99793	50.94	0.94	rgb(227, 37, 39)	1.999	None
NEUROG3	USP13	0.99793	50.94	0.944	rgb(227, 37, 39)	1.999	None
NKX2-2	RGS4	0.99793	50.94	0.937	rgb(227, 38, 40)	1.999	None
SMAD9	PNPO	0.99793	50.94	0.94	rgb(227, 37, 39)	1.999	None
ZNF514	LOC100288069	0.99793	50.94	0.936	rgb(227, 38, 40)	1.999	2,2
NEUROD1	CABP7	0.99748	50.96	0.961	rgb(228, 33, 35)	1.9994	None
